customer_id,customer_name,email,country,city,customer_segment,signup_date,is_active,account_manager,_loaded_at
CUST-0034,Customer 34 Corp,contact34@customer34.com,India,Mumbai,SMB,2022-04-04,true,James O'Brien,2026-06-01T00:00:00
CUST-0035,Customer 35 Corp,contact35@customer35.com,Canada,Vancouver,SMB,2022-08-28,true,Sarah Chen,2026-06-01T00:00:00
CUST-0036,Customer 36 Corp,contact36@customer36.com,USA,Chicago,Consumer,2022-06-26,true,Marcus Williams,2026-06-01T00:00:00
CUST-0037,Customer 37 Corp,contact37@customer37.com,UK,London,Consumer,2022-08-05,false,Marcus Williams,2026-06-01T00:00:00
CUST-0038,Customer 38 Corp,contact38@customer38.com,Canada,Vancouver,Enterprise,2022-02-15,true,Sarah Chen,2026-06-01T00:00:00
CUST-0039,Customer 39 Corp,contact39@customer39.com,France,Paris,Enterprise,2022-04-06,false,James O'Brien,2026-06-01T00:00:00
CUST-0040,Customer 40 Corp,contact40@customer40.com,Germany,Berlin,SMB,2022-01-06,false,Sarah Chen,2026-06-01T00:00:00
CUST-0041,Customer 41 Corp,contact41@customer41.com,Germany,Munich,SMB,2022-05-14,false,Marcus Williams,2026-06-01T00:00:00
CUST-0042,Customer 42 Corp,contact42@customer42.com,UK,Manchester,Enterprise,2022-01-19,true,Priya Patel,2026-06-01T00:00:00
CUST-0043,Customer 43 Corp,contact43@customer43.com,USA,New York,Consumer,2022-08-17,true,Sarah Chen,2026-06-01T00:00:00
CUST-0044,Customer 44 Corp,contact44@customer44.com,Australia,Sydney,Enterprise,2022-02-20,true,Marcus Williams,2026-06-01T00:00:00
CUST-0045,Customer 45 Corp,contact45@customer45.com,Germany,Berlin,Consumer,2022-04-19,true,Sarah Chen,2026-06-01T00:00:00
CUST-0046,Customer 46 Corp,contact46@customer46.com,Germany,Munich,SMB,2022-04-22,true,Marcus Williams,2026-06-01T00:00:00
CUST-0047,Customer 47 Corp,contact47@customer47.com,Canada,Vancouver,Enterprise,2022-11-21,true,James O'Brien,2026-06-01T00:00:00
CUST-0048,Customer 48 Corp,contact48@customer48.com,Canada,Toronto,Enterprise,2022-08-20,true,Sarah Chen,2026-06-01T00:00:00
CUST-0049,Customer 49 Corp,contact49@customer49.com,Australia,Sydney,Consumer,2022-05-05,true,Sarah Chen,2026-06-01T00:00:00
CUST-0050,Customer 50 Corp,contact50@customer50.com,UK,Manchester,SMB,2022-03-15,true,Sarah Chen,2026-06-01T00:00:00
